ISO_CODE,ISO_NAME,Emission,latitude,longitude
AFG,Afghanistan,0.880562,33.93911,67.70995300000004
ALB,Albania,2.641683,41.153332,20.168330999999966
DZA,Algeria,5.44307,28.033886,1.659626000000003
AGO,Angola,2.586921,-11.202692,17.873886999999968
AIA,Anguilla,2.212629,18.220554,-63.06861500000002
ATG,Antigua and Barbuda,4.655974,17.060816,-61.79642799999999
ARG,Argentina,8.519953,-38.416097,-63.616671999999994
ARM,Armenia,2.611944,40.069099,45.03818899999999
ABW,Aruba,1.814119,12.52111,-69.96833800000002
AUS,Australia,26.35903,-25.274398,133.77513599999997
AUT,Austria,10.49081,47.516231,14.550072
AZE,Azerbaijan,5.462015,40.143105,47.57692700000007
BHS,Bahamas (the),10.94026,25.03428,-77.39627999999999
BHR,Bahrain,19.33491,26.0667,50.55770000000007
BGD,Bangladesh,1.311153,23.684994,90.35633099999995
BRB,Barbados,5.394637,13.193887,-59.54319799999996
BLR,Belarus,11.95442,53.709807,27.953389000000016
BEL,Belgium,11.25155,50.503887,4.4699359999999615
BLZ,Belize,3.98403,17.189877,-88.49765000000002
BEN,Benin,1.259508,9.30769,2.3158339999999953
BMU,Bermuda,9.292501,32.3078,-64.75049999999999
BTN,Bhutan,3.168304,27.514162,90.43360099999995
BOL,Bolivia (Plurinational State of),4.595651,-16.290154,-63.58865300000002
BIH,Bosnia and Herzegovina,8.036861,43.915886,17.67907600000001
BWA,Botswana,5.137207,-22.328474,24.684866000000056
BRA,Brazil,5.58822,-14.235004,-51.92527999999999
BRN,Brunei Darussalam,31.7517,4.535277,114.72766899999999
BGR,Bulgaria,8.943298,42.733883,25.485829999999964
BFA,Burkina Faso,1.501416,12.238333,-1.5615930000000162
BDI,Burundi,0.636388,-3.373056,29.91888599999993
CPV,Cabo Verde,0.817092,16.5388,-23.041799999999967
KHM,Cambodia,2.195649,12.565679,104.99096299999997
CMR,Cameroon,1.725273,7.369721999999999,12.354722000000038
CAN,Canada,20.562,56.130366,-106.34677099999999
CYM,Cayman Islands (the),6.836349,19.3133,-81.25459999999998
CAF,Central African Republic (the),2.206728,6.611110999999999,20.93944399999998
TCD,Chad,1.620495,15.454166,18.732207000000017
CHL,Chile,6.326088,-35.675147,-71.54296899999997
CHN,China,8.797069,35.86166,104.19539699999996
COL,Colombia,3.329042,4.570868,-74.29733299999998
COM,Comoros (the),0.655209,-11.6455,43.33330000000001
COD,Congo (the Democratic Republic of the),0.457265,-4.038333,21.758663999999953
COG,Congo (the),2.968871,-4.038333,21.758663999999953
COK,Cook Islands (the),1.988952,-21.236736,-159.777671
CRI,Costa Rica,2.774346,9.748916999999999,-83.75342799999999
CIV,Cote d'Ivoire,0.974575,7.539988999999999,-5.547080000000051
HRV,Croatia,6.561912,45.1,15.200000100000011
CUB,Cuba,4.323817,21.521757,-77.78116699999998
ANT,Curacao,43.28112,12.16957,-68.99002000000002
CYP,Cyprus,8.167161,35.126413,33.429858999999965
CZE,Czechia,12.86084,49.81749199999999,15.472962000000052
DNK,Denmark,10.16008,56.26392,9.50178500000004
DJI,Djibouti,2.781986,11.825138,42.59027500000002
DMA,Dominica,3.177712,15.414999,-61.37097600000004
DOM,Dominican Republic (the),3.565431,18.735693,-70.16265099999998
ECU,Ecuador,4.406164,-1.831239,-78.18340599999999
EGY,Egypt,3.571268,26.820553,30.802498000000014
SLV,El Salvador,1.855118,13.794185,-88.89652999999998
GNQ,Equatorial Guinea,5.638225,1.650801,10.267894999999953
ERI,Eritrea,1.265428,15.179384,39.78233399999999
EST,Estonia,18.07657,58.595272,25.013607099999945
ETH,Ethiopia,1.401845,9.145000000000001,40.48967300000004
EU28,EU28,9.051848,42.1418984,-85.5886908
FLK,Falkland Islands (the) [Malvinas],64.98889,-51.796253,-59.52361300000001
FRO,Faroe Islands (the),0.613395,61.89263500000001,-6.911806100000035
FJI,Fiji,2.947182,-17.713371,178.06503199999997
FIN,Finland,14.63996,61.92410999999999,25.748151099999973
FRA_MCO,France and Monaco,7.270098,43.73741099999999,7.420816000000059
GUF,French Guiana,5.769179,3.933889,-53.125782000000015
PYF,French Polynesia,3.449418,-17.679742,-149.40684299999998
GAB,Gabon,7.143199,-0.803689,11.60944399999994
GMB,Gambia (the),0.880354,13.443182,-15.310138999999936
GEO,Georgia,2.929053,42.315407,43.356892000000016
DEU,Germany,11.29623,51.165691,10.451526000000058
GHA,Ghana,1.114666,7.946527,-1.0231939999999895
GIB,Gibraltar,14.63524,36.140751,-5.353585000000066
GRC,Greece,9.92981,39.074208,21.824311999999964
GRL,Greenland,4.34994,71.706936,-42.604303000000016
GRD,Grenada,5.124533,12.1165,-61.678999999999974
GLP,Guadeloupe,5.982478,16.265,-61.55099999999999
GTM,Guatemala,1.661853,15.783471,-90.23075899999998
GIN,Guinea,1.361808,9.945587,-9.69664499999999
GNB,Guinea-Bissau,1.361032,11.803749,-15.180413000000044
GUY,Guyana,7.569736,4.860416,-58.93018000000001
HTI,Haiti,1.28073,18.971187,-72.285215
HND,Honduras,2.128651,15.199999,-86.24190499999997
HKG,Hong Kong,7.051923,22.396428,114.10949700000003
HUN,Hungary,6.477788,47.162494,19.503304100000037
ISL,Iceland,13.81522,64.963051,-19.020835000000034
IND,India,2.502415,20.593684,78.96288000000004
IDN,Indonesia,3.307971,-0.789275,113.92132700000002
IRN,Iran (Islamic Republic of),10.28519,32.427908,53.688045999999986
IRQ,Iraq,6.272333,33.223191,43.679291000000035
IRL,Ireland,13.09066,53.1423672,-7.692053600000008
ISR_PSE,Israel and Palestine; State of,10.43372,31.046051,34.85161199999993
ITA_SMR_VAT,Italy and San Marino and Holy See (the),7.715113,41.9262035,12.507077600000002
JAM,Jamaica,3.676551,18.109581,-77.297508
JPN,Japan,10.65624,36.204824,138.252924
JOR,Jordan,3.356577,30.585164,36.238414000000034
KAZ,Kazakhstan,21.08477,48.019573,66.92368399999998
KEN,Kenya,1.683478,-0.023559,37.90619300000003
KIR,Kiribati,0.697698,-3.370417,-168.734039
PRK,Korea (the Democratic People's Republic of),3.355319,40.339852,127.51009299999998
KOR,Korea (the Republic of),13.09271,35.907757,127.76692200000002
KWT,Kuwait,35.03811,29.31166,47.48176599999999
KGZ,Kyrgyzstan,2.593944,41.20438,74.76609800000006
LAO,Lao People's Democratic Republic (the),2.366528,19.85627,102.495496
LVA,Latvia,5.661827,56.879635,24.60318899999993
LBN,Lebanon,4.935869,33.854721,35.86228499999993
LSO,Lesotho,1.15324,-29.609988,28.233608000000004
LBR,Liberia,0.701483,6.428055,-9.429498999999964
LBY,Libya,12.40984,26.3351,17.228331000000026
LTU,Lithuania,7.831176,55.169438,23.88127499999996
LUX,Luxembourg,21.63052,49.815273,6.129583000000025
MAC,Macao,4.909866,22.198745,113.54387300000008
MKD,Macedonia (the former Yugoslav Republic of),5.924525,41.608635,21.745274999999992
MDG,Madagascar,1.331231,-18.766947,46.869106999999985
MWI,Malawi,0.631618,-13.254308,34.30152499999997
MYS,Malaysia,9.393339,4.210484,101.97576600000002
MDV,Maldives,2.60356,3.202778,73.22068000000002
MLI,Mali,1.818011,17.570692,-3.9961660000000165
MLT,Malta,6.353069,35.937496,14.375415999999973
MTQ,Martinique,6.814528,14.641528,-61.024174000000016
MRT,Mauritania,2.922945,21.00789,-10.940834999999993
MUS,Mauritius,2.917222,-20.348404,57.55215199999998
MEX,Mexico,6.00509,23.634501,-102.55278399999997
MDA,Moldova (the Republic of),2.661686,38.914271,-77.04662300000001
MNG,Mongolia,13.45786,46.862496,103.84665599999994
MAR,Morocco,2.282547,31.791702,-7.092620000000011
MOZ,Mozambique,0.757499,-18.665695,35.52956199999994
MMR,Myanmar,2.252776,21.916221,95.95597399999997
NAM,Namibia,4.161869,-22.95764,18.490409999999997
NPL,Nepal,1.46705,28.394857,84.124008
NLD,Netherlands (the),12.31005,52.132633,5.2912659999999505
NCL,New Caledonia,8.281649,-20.904305,165.61804200000006
NZL,New Zealand,18.32725,-40.900557,174.88597100000004
NIC,Nicaragua,2.63871,12.865416,-85.20722899999998
NER,Niger (the),1.597436,17.607789,8.081666000000041
NGA,Nigeria,1.820013,9.081999,8.675277000000051
NOR,Norway,13.65435,60.47202399999999,8.46894599999996
OMN,Oman,27.81346,21.4735329,55.975413
PAK,Pakistan,2.134828,30.375321,69.34511599999996
PLW,Palau,1.650203,7.514979999999999,134.58251999999993
PAN,Panama,4.12438,8.537981,-80.782127
PNG,Papua New Guinea,1.32003,-6.314992999999999,143.95555000000002
PRY,Paraguay,5.277706,-23.442503,-58.443831999999986
PER,Peru,2.644665,-9.189967,-75.015152
PHL,Philippines (the),1.751089,12.879721,121.77401699999996
POL,Poland,10.48975,51.919438,19.14513599999998
PRT,Portugal,6.341294,39.39987199999999,-8.224454000000037
PRI,Puerto Rico,0.912988,18.220833,-66.590149
QAT,Qatar,72.62834,25.354826,51.183884000000035
REU,Reunion,1.955206,-21.115141,55.536384
ROU,Romania,5.996812,45.943161,24.966760000000022
RUS,Russian Federation (the),15.87049,61.52401,105.31875600000001
RWA,Rwanda,0.622265,-1.940278,29.873887999999965
SHN,Saint Helena; Ascension and Tristan da Cunha,3.457476,-24.1434812,-10.030694499999981
KNA,Saint Kitts and Nevis,3.836175,17.357822,-62.78299800000002
LCA,Saint Lucia,3.483162,13.909444,-60.97889299999997
SPM,Saint Pierre and Miquelon,1.761561,46.8852,-56.3159
VCT,Saint Vincent and the Grenadines,3.386803,12.984305,-61.28722800000003
WSM,Samoa,1.728952,-13.759029,-172.104629
STP,Sao Tome and Principe,0.677018,0.18636,6.613080999999966
SAU,Saudi Arabia,19.22687,23.885942,45.079162
SEN,Senegal,1.42272,14.497401,-14.452361999999994
SRB_MNE,Serbia and Montenegro,7.858804,42.4417823,19.272590400000013
SYC,Seychelles,6.227668,-4.679574,55.49197700000002
SLE,Sierra Leone,0.885511,8.460555,-11.779889000000026
SGP,Singapore,9.381697,1.352083,103.81983600000001
SVK,Slovakia,8.894194,48.669026,19.69902400000001
SVN,Slovenia,10.54857,46.151241,14.995462999999972
SLB,Solomon Islands,1.230094,-9.64571,160.15619400000003
SOM,Somalia,2.042244,5.152149,46.19961599999999
ZAF,South Africa,9.145148,-30.559482,22.937505999999985
ESP_AND,Spain and Andorra,7.29918,42.506285,1.5218009999999822
LKA,Sri Lanka,1.508935,7.873053999999999,80.77179699999999
SDN_SSD,Sudan (the) and South Sudan,2.490033,6.876991899999999,31.306978800000024
SUR,Suriname,5.603502,3.919305,-56.027783
SWZ,Swaziland,1.9209,-26.522503,31.465866000000005
SWE,Sweden,7.1668,60.12816100000001,18.643501000000015
CHE_LIE,Switzerland and Liechtenstein,6.896394,47.166,9.555373000000031
SYR,Syrian Arab Republic,3.629542,34.80207499999999,38.99681499999997
TWN,Taiwan (Province of China),12.38148,22.6158015,120.7120023
TJK,Tajikistan,1.423758,38.861034,71.27609299999995
TZA,Tanzania; United Republic of,1.258211,-6.369028,34.888822000000005
THA,Thailand,6.001125,15.870032,100.99254100000007
TLS,Timor-Leste,2.078268,-8.874217,125.72753899999998
TGO,Togo,1.004837,8.619543,0.8247820000000274
TON,Tonga,2.694803,-21.178986,-175.198242
TTO,Trinidad and Tobago,38.85787,10.691803,-61.22250300000002
TUN,Tunisia,3.349585,33.886917,9.537499000000025
